id;name;open_time;close_time
1;initiative;2021-04-10T11:25:03;2021-04-10T15:56:38
2;Plastic Ergonomic;2021-04-10T17:32:34;2021-04-10T12:12:26
3;cross-platform Buckinghamshire Metal;2021-04-11T01:11:28;2021-04-10T21:12:23
4;payment a XML;2021-04-10T10:20:17;2021-04-10T22:54:27
5;mobile experiences Keyboard;2021-04-10T16:40:49;2021-04-11T08:01:04
6;SMTP Computer e-markets;2021-04-11T05:56:39;2021-04-10T18:57:39
7;hard;2021-04-10T08:06:05;2021-04-10T13:56:39
8;Directeur b;2021-04-11T01:12:40;2021-04-10T08:37:05
9;Fish copying;2021-04-10T19:08:25;2021-04-10T22:50:58
10;bXX;2021-04-11T03:18:55;2021-04-10T22:58:41
